2015-12-14 15:22:21,589 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-14 15:22:21,591 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-12-14 15:22:21,593 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-14 15:22:21,595 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-12-14 15:22:21,596 [Worker-6] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of SIGEAS
2015-12-14 15:22:21,598 [Worker-6] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for SIGEAS
2015-12-14 15:22:21,609 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-14 15:22:42,569 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: SIGEAS:SIGEAS:0.0.1-SNAPSHOT @ /media/luiz-pereira/CAF64543F645314D/Documentos/Dropbox/Faculdade/7-Período/PJ2/Eclipse-Projects/SIGEAS/01-SISTEMA/03-IMPLEMENTACAO/SIGEAS/pom.xml.
2015-12-14 15:22:42,706 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-14 15:22:42,707 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-12-14 15:22:42,709 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-14 15:22:42,711 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-12-14 15:22:42,711 [Worker-0] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of SIGEAS
2015-12-14 15:22:42,711 [Worker-0] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for SIGEAS
2015-12-14 15:22:42,719 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-14 15:24:20,408 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-14 15:24:20,411 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-12-14 15:24:20,524 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-14 15:24:20,526 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-12-14 15:25:26,605 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2015-12-14 15:25:26,699 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: SIGEAS:SIGEAS:0.0.1-SNAPSHOT @ /media/luiz-pereira/CAF64543F645314D/Documentos/Dropbox/Faculdade/7-Período/PJ2/Eclipse-Projects/SIGEAS/01-SISTEMA/03-IMPLEMENTACAO/SIGEAS/pom.xml.
2015-12-14 15:25:26,857 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SIGEAS/src/main/java
2015-12-14 15:25:26,860 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /SIGEAS/src/main/resources
2015-12-14 15:25:26,861 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SIGEAS/src/main/test
2015-12-14 15:25:26,862 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /SIGEAS/src/test/resources
2015-12-14 15:25:27,511 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: SIGEAS:SIGEAS:0.0.1-SNAPSHOT @ /media/luiz-pereira/CAF64543F645314D/Documentos/Dropbox/Faculdade/7-Período/PJ2/Eclipse-Projects/SIGEAS/01-SISTEMA/03-IMPLEMENTACAO/SIGEAS/pom.xml.
2015-12-14 15:25:27,625 [Worker-6] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for SIGEAS
2015-12-14 15:25:27,638 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2015-12-14 15:25:27,741 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-14 15:25:27,742 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-12-14 15:25:27,744 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-14 15:25:27,746 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
